Entity,Code,Year,ODA by donor (% of GNI) - Official estimate,1012356-annotations
Australia,AUS,1960,0.37020743,
Australia,AUS,1961,0.4385856,
Australia,AUS,1962,0.42609698,
Australia,AUS,1963,0.50767606,
Australia,AUS,1964,0.4816956,
Australia,AUS,1965,0.5285778,
Australia,AUS,1966,0.5561685,
Australia,AUS,1967,0.6151016,
Australia,AUS,1968,0.56513274,
Australia,AUS,1969,0.5986918,
Australia,AUS,1970,0.6154651,
Australia,AUS,1971,0.5614528,
Australia,AUS,1972,0.6152915,
Australia,AUS,1973,0.46633166,
Australia,AUS,1974,0.5513384,
Australia,AUS,1975,0.6549452,
Australia,AUS,1976,0.40783218,
Australia,AUS,1977,0.4194499,
Australia,AUS,1978,0.54610854,
Australia,AUS,1979,0.52791214,
Australia,AUS,1980,0.4835209,
Australia,AUS,1981,0.41093364,
Australia,AUS,1982,0.56101674,
Australia,AUS,1983,0.4898376,
Australia,AUS,1984,0.45016807,
Australia,AUS,1985,0.4829205,
Australia,AUS,1986,0.46579173,
Australia,AUS,1987,0.3352804,
Australia,AUS,1988,0.4608848,
Australia,AUS,1989,0.37607244,
Australia,AUS,1990,0.3401481,
Australia,AUS,1991,0.37527835,
Australia,AUS,1992,0.36609444,
Australia,AUS,1993,0.34707946,
Australia,AUS,1994,0.3415484,
Australia,AUS,1995,0.34253293,
Australia,AUS,1996,0.2737466,
Australia,AUS,1997,0.27040526,
Australia,AUS,1998,0.27129924,
Australia,AUS,1999,0.25704035,
Australia,AUS,2000,0.26664388,
Australia,AUS,2001,0.25189736,
Australia,AUS,2002,0.2556039,
Australia,AUS,2003,0.24719955,
Australia,AUS,2004,0.24514052,
Australia,AUS,2005,0.24757351,
Australia,AUS,2006,0.2950747,
Australia,AUS,2007,0.32259196,
Australia,AUS,2008,0.31600812,
Australia,AUS,2009,0.2936231,
Australia,AUS,2010,0.32272723,
Australia,AUS,2011,0.34356588,
Australia,AUS,2012,0.3609295,
Australia,AUS,2013,0.33089834,
Australia,AUS,2014,0.31431127,
Australia,AUS,2015,0.29111192,
Australia,AUS,2016,0.2658266,
Australia,AUS,2017,0.23199672,
Australia,AUS,2018,0.22956936,
Australia,AUS,2019,0.21544313,
Australia,AUS,2020,0.21403845,
Australia,AUS,2021,0.22144523,
Australia,AUS,2022,0.18739358,
Australia,AUS,2023,0.19369814,
Austria,AUT,1960,0.0015923565,
Austria,AUT,1961,0.041726615,
Austria,AUT,1962,0.03108108,
Austria,AUT,1963,0.052697614,
Austria,AUT,1964,0.07551487,
Austria,AUT,1965,0.114285715,
Austria,AUT,1966,0.12225461,
Austria,AUT,1967,0.13875115,
Austria,AUT,1968,0.14149486,
Austria,AUT,1969,0.11268598,
Austria,AUT,1970,0.07334946,
Austria,AUT,1971,0.07343619,
Austria,AUT,1972,0.086206056,
Austria,AUT,1973,0.1458885,
Austria,AUT,1974,0.18122476,
Austria,AUT,1975,0.21141574,
Austria,AUT,1976,0.12416184,
Austria,AUT,1977,0.2268434,
Austria,AUT,1978,0.26837295,
Austria,AUT,1979,0.19287401,
Austria,AUT,1980,0.23333551,
Austria,AUT,1981,0.33408818,
Austria,AUT,1982,0.35568878,
Austria,AUT,1983,0.23649265,
Austria,AUT,1984,0.2819926,
Austria,AUT,1985,0.3768923,
Austria,AUT,1986,0.21110757,
Austria,AUT,1987,0.17233665,
Austria,AUT,1988,0.23960537,
Austria,AUT,1989,0.22510153,
Austria,AUT,1990,0.10642488,
Austria,AUT,1991,0.18111844,
Austria,AUT,1992,0.11148865,
Austria,AUT,1993,0.11360857,
Austria,AUT,1994,0.16507548,
Austria,AUT,1995,0.26760286,
Austria,AUT,1996,0.2290349,
Austria,AUT,1997,0.24296936,
Austria,AUT,1998,0.21897289,
Austria,AUT,1999,0.23813441,
Austria,AUT,2000,0.23443575,
Austria,AUT,2001,0.34156105,
Austria,AUT,2002,0.25512367,
Austria,AUT,2003,0.20161313,
Austria,AUT,2004,0.2329082,
Austria,AUT,2005,0.52178115,
Austria,AUT,2006,0.46886617,
Austria,AUT,2007,0.4980585,
Austria,AUT,2008,0.4282754,
Austria,AUT,2009,0.30203867,
Austria,AUT,2010,0.32242185,
Austria,AUT,2011,0.26712698,
Austria,AUT,2012,0.2802159,
Austria,AUT,2013,0.2735214,
Austria,AUT,2014,0.2843688,
Austria,AUT,2015,0.35374853,
Austria,AUT,2016,0.42371136,
Austria,AUT,2017,0.3000435,
Austria,AUT,2018,0.25781927,
Austria,AUT,2019,0.2758194,
Austria,AUT,2020,0.29641077,
Austria,AUT,2021,0.30826622,
Austria,AUT,2022,0.39394525,
Austria,AUT,2023,0.3799405,
Azerbaijan,AZE,2014,0.020988882,
Azerbaijan,AZE,2015,0.018598748,
Azerbaijan,AZE,2016,0.037964333,
Azerbaijan,AZE,2017,0.048168235,
Azerbaijan,AZE,2018,0.06375905,
Azerbaijan,AZE,2019,0.059470825,
Azerbaijan,AZE,2020,0.10461336,
Azerbaijan,AZE,2022,0.060070936,
Azerbaijan,AZE,2023,0.14814119,
Belgium,BEL,1960,0.8827647,
Belgium,BEL,1961,0.7592745,
Belgium,BEL,1962,0.53858024,
Belgium,BEL,1963,0.57255745,
Belgium,BEL,1964,0.4579319,
Belgium,BEL,1965,0.5982332,
Belgium,BEL,1966,0.41704112,
Belgium,BEL,1967,0.45388547,
Belgium,BEL,1968,0.42119616,
Belgium,BEL,1969,0.50047415,
Belgium,BEL,1970,0.4630748,
Belgium,BEL,1971,0.5024587,
Belgium,BEL,1972,0.54761696,
Belgium,BEL,1973,0.5116609,
Belgium,BEL,1974,0.5028249,
Belgium,BEL,1975,0.5972325,
Belgium,BEL,1976,0.4968082,
Belgium,BEL,1977,0.46688733,
Belgium,BEL,1978,0.5503891,
Belgium,BEL,1979,0.5793672,
Belgium,BEL,1980,0.4968511,
Belgium,BEL,1981,0.5889546,
Belgium,BEL,1982,0.57978237,
Belgium,BEL,1983,0.5872636,
Belgium,BEL,1984,0.57515144,
Belgium,BEL,1985,0.54732925,
Belgium,BEL,1986,0.4756377,
Belgium,BEL,1987,0.4791923,
Belgium,BEL,1988,0.39414755,
Belgium,BEL,1989,0.45815963,
Belgium,BEL,1990,0.45584384,
Belgium,BEL,1991,0.41411588,
Belgium,BEL,1992,0.3908198,
Belgium,BEL,1993,0.3905524,
Belgium,BEL,1994,0.3177712,
Belgium,BEL,1995,0.38295248,
Belgium,BEL,1996,0.34248552,
Belgium,BEL,1997,0.31045273,
Belgium,BEL,1998,0.35216734,
Belgium,BEL,1999,0.30344582,
Belgium,BEL,2000,0.35774034,
Belgium,BEL,2001,0.36833116,
Belgium,BEL,2002,0.43246067,
Belgium,BEL,2003,0.60176164,
Belgium,BEL,2004,0.40965313,
Belgium,BEL,2005,0.5257093,
Belgium,BEL,2006,0.49926397,
Belgium,BEL,2007,0.42610684,
Belgium,BEL,2008,0.47860113,
Belgium,BEL,2009,0.5499804,
Belgium,BEL,2010,0.6397109,
Belgium,BEL,2011,0.5362919,
Belgium,BEL,2012,0.4745991,
Belgium,BEL,2013,0.45299003,
Belgium,BEL,2014,0.46302322,
Belgium,BEL,2015,0.41607744,
Belgium,BEL,2016,0.49858806,
Belgium,BEL,2017,0.44532222,
Belgium,BEL,2018,0.43024155,
Belgium,BEL,2019,0.40918142,
Belgium,BEL,2020,0.4783106,
Belgium,BEL,2021,0.43250084,
Belgium,BEL,2022,0.45328507,
Belgium,BEL,2023,0.43614772,
Bulgaria,BGR,2010,0.08707311,
Bulgaria,BGR,2011,0.0928515,
Bulgaria,BGR,2012,0.08028912,
Bulgaria,BGR,2013,0.09709402,
Bulgaria,BGR,2014,0.09012963,
Bulgaria,BGR,2015,0.08589536,
Bulgaria,BGR,2016,0.13444611,
Bulgaria,BGR,2017,0.11162133,
Bulgaria,BGR,2018,0.11044468,
Bulgaria,BGR,2019,0.09538188,
Bulgaria,BGR,2020,0.12890226,
Bulgaria,BGR,2021,0.12079471,
Bulgaria,BGR,2022,0.270292,
Bulgaria,BGR,2023,0.18262473,
Canada,CAN,1960,0.16368912,
Canada,CAN,1961,0.15482485,
Canada,CAN,1962,0.10375997,
Canada,CAN,1963,0.15188208,
Canada,CAN,1964,0.16732538,
Canada,CAN,1965,0.18845192,
Canada,CAN,1966,0.33687115,
Canada,CAN,1967,0.31671223,
Canada,CAN,1968,0.289059,
Canada,CAN,1969,0.29143754,
Canada,CAN,1970,0.41030043,
Canada,CAN,1971,0.4165696,
Canada,CAN,1972,0.44064316,
Canada,CAN,1973,0.41689742,
Canada,CAN,1974,0.47439462,
Canada,CAN,1975,0.5409055,
